NAME,SUBSCRIPT,DEFAULT_VALUE,DESCRIPTION,DIMENSIONS
STANDARD FORMAT,OPTIONAL FORMAT
::,::
APPLICATION,,0,Flag for type of application being modeled,NONE
PROCESS,,0,Flag for type of process being modeled,NONE
SUBPROCESS,,0,Flag for type of subprocess being modeled,NONE          
ALPHA,,1.0,Controls weighting of upstream values in advection approximations when :envvar:`IORDER` = 1,NON-DIM
ALPHA_SWAT,,1.0,Controls weighting of upstream values in advection approximations in the shallow water model when :envvar:`IORDER_SWAT` = 1,NON-DIM
DTIMPX,,1.0\ :math:`\times`\ 10\ :sup:`10`,"Maximum Courant number used to limit the time step size in the implicit advection model, :envvar:`IMPADV` = 1. Used in addition to any other limiting factors.",NON-DIM
IFENRG,,...,Flag for internal energy evaluation,NONE
IFPK,,...,Flag for F-packing,NONE
IFRHO,,...,Flag for density evaluation,NONE
IFTHEXP,,0,Thermal expansion flag for flow with density a function of temperature,NONE
IFVOF,,...,Flag for F advection options,NONE
IFSLP,,0,Flag for two-fluid interface velocity slip option,NONE
IMPADV,,0,Advection explicit/implicit flag,NONE
IMPADV2,,0,"Time step control flag for implicit advection option, :envvar:`IMPADV` = 1",NONE    
IORDER,,1,Momentum equation approximation flag,NONE
IORDER_SWAT,,3,Momentum equation approximation flag for the shallow water model,NONE
IBM,,0,Immersed boundary method flag,NONE
IBM_PROBE_DIRECTION_METHOD,,0,Flag for probe directions of ghost nodes,NONE
DT_THRESH,,0.0,Time step threshold for implicit advection. Cells with local advective stability limit below :envvar:`DT_THRESH` are treated implicitly. Used when :envvar:`IMPADV` = 1 and :envvar:`IMPADV2` = 2. ,[t] 
V_THRESH,,1.0\ :math:`\times`\ 10\ :sup:`35`,Velocity threshold for implicit advection. Cells with velocity above :envvar:`V_THRESH` are treated implicitly. Used when :envvar:`IMPADV` = 1 and :envvar:`IMPADV2` = 1. ,[L/t]
IF_VOL_CORR,,0,Flag for fluid #1 volume correction model. Only applied to one-fluid with free-surface and two-fluid problems to maintain fluid #1 volume conservation.,NONE
IVOL_CORR_TIME,,1,Flag for the definition of the characteristic time for volume correction :envvar:`VOL_CORR_TIME`,NONE
VOL_CORR_TIME,,...,Characteristic time for fluid #1 volume correction. Defaults to 10.0 when :envvar:`IVOL_CORR_TIME` = 1. Must be positive when :envvar:`IVOL_CORR_TIME` = 2.,"NON-DIM if :envvar:`IVOL_CORR_TIME` = 1, [t] otherwise"
ICLID,,0,Flag for the collision model. Only applied to the coupled-motion GMO components,NONE
FRCMOB,,0.0,Global coefficient of friction during collision between coupled-motion GMO components and other components and walls,NON-DIM
STRNGMOB,,1.0,Global coefficient of Stronge's restitution during collision between coupled-motion GMO components and other components and walls. Values should be between 0.0 and 1.0.,NON-DIM
EPSADJ,,1.0,Multiplier for the calculated pressure iteration convergence criterion ,NON-DIM
EPSI,,-1.0,Constant pressure iteration convergence criterion,[1/t]
EPSFSI,,1.0\ :math:`\times`\ 10\ :sup:`-3`,Fluid-structure interaction (FSI) and thermal stress evolution (TSE) convergence criterion.,NON-DIM
EPSHTC,,1.0,Multiplier for temperature iteration convergence criterion,NON-DIM
EPSVIS,,1.0,Convergence adjustment for implicit viscous model,NON-DIM
EPSELS,,1.0,Convergence adjustment for implicit elastic stress model,NON-DIM
IFDYNCONV,,1,Pressure iteration convergence criterion flag,NONE
OMEGA,,...,Relaxation factor used in pressure iteration solvers.,NON-DIM
OMEGHT,,2.0,Relaxation factor for implicit heat transfer and conduction,NON-DIM
OMEGVS,,...,Relaxation factor used in velocity iteration for implicit viscous model,NON-DIM
IFCOR,,0,Core gas model flag,NONE
IPRTVNT,,0,Print venting flag,NONE
ISSDIMCG,,4,Sub-scaling dimension of the binder array. Each computational cell within a core is subdivided into :envvar:`ISSDIMCG` equal sub-cells in each coordinate direction to store binder concentration.,[sub-cells]
TAURLXCG,,0.0,Time over which the metal pressure at core surface is averaged,[t]
